"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2015-07-06;"SPPO";3568671
2015-07-07;"SPPO";3626515
2015-07-08;"SPPO";3627752
2015-07-09;"SPPO";3574801
2015-07-10;"SPPO";3612410
2015-07-11;"SPPO";2313573
2015-07-12;"SPPO";1501455
2015-07-13;"SPPO";3419228
2015-07-14;"SPPO";3437151
2015-07-15;"SPPO";3466359
2015-07-16;"SPPO";3409795
2015-07-17;"SPPO";3366953
2015-07-18;"SPPO";2216646
2015-07-19;"SPPO";1461455
2015-07-20;"SPPO";3244959
2015-07-21;"SPPO";3249720
2015-07-22;"SPPO";3139872
2015-07-23;"SPPO";3189890
2015-07-24;"SPPO";3230633
2015-07-25;"SPPO";2036648
2015-07-26;"SPPO";1350469
2015-07-27;"SPPO";3094001
2015-07-28;"SPPO";3160688
2015-07-29;"SPPO";3201617
2015-07-30;"SPPO";3201577
2015-07-31;"SPPO";3282424
2015-08-01;"SPPO";2286062
2015-08-02;"SPPO";1555763
2015-08-03;"SPPO";3597980
2015-08-04;"SPPO";3683320
2015-08-05;"SPPO";3730185
2015-08-06;"SPPO";3734833
2015-08-07;"SPPO";3721055
2015-08-08;"SPPO";2414562
2015-08-09;"SPPO";1571218
2015-08-10;"SPPO";3643061
2015-08-11;"SPPO";3668088
2015-08-12;"SPPO";3709895
2015-08-13;"SPPO";3701206
2015-08-14;"SPPO";3645560
2015-08-15;"SPPO";2338577
2015-08-16;"SPPO";1556933
2015-08-17;"SPPO";3617110
2015-08-18;"SPPO";3694475
2015-08-19;"SPPO";3603303
2015-08-20;"SPPO";3648381
2015-08-21;"SPPO";3597857
2015-08-22;"SPPO";2265047
2015-08-23;"SPPO";1515099
2015-08-24;"SPPO";3543074
2015-08-25;"SPPO";3554358
2015-08-26;"SPPO";3614147
2015-08-27;"SPPO";3598447
2015-08-28;"SPPO";3600234
2015-08-29;"SPPO";2265426
2015-08-30;"SPPO";1532212
2015-08-31;"SPPO";3628122
2015-09-01;"SPPO";3688533
2015-09-02;"SPPO";3679129
2015-09-03;"SPPO";3769885
