"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2015-07-27;"BRT";701033
2015-07-28;"BRT";724494
2015-07-29;"BRT";722628
2015-07-30;"BRT";735139
2015-07-31;"BRT";748473
2015-08-01;"BRT";499814
2015-08-02;"BRT";314641
2015-08-03;"BRT";770274
2015-08-04;"BRT";788250
2015-08-05;"BRT";799631
2015-08-06;"BRT";800667
2015-08-07;"BRT";802365
2015-08-08;"BRT";532257
2015-08-09;"BRT";318459
2015-08-10;"BRT";783284
2015-08-11;"BRT";797526
2015-08-12;"BRT";800325
2015-08-13;"BRT";797218
2015-08-14;"BRT";802479
2015-08-15;"BRT";513921
2015-08-16;"BRT";322518
2015-08-17;"BRT";766080
2015-08-18;"BRT";792349
2015-08-19;"BRT";780787
2015-08-20;"BRT";790096
2015-08-21;"BRT";788043
2015-08-22;"BRT";498461
2015-08-23;"BRT";306116
2015-08-24;"BRT";755293
2015-08-25;"BRT";764268
2015-08-26;"BRT";764140
2015-08-27;"BRT";765619
2015-08-28;"BRT";789224
2015-08-29;"BRT";491629
2015-08-30;"BRT";308575
2015-08-31;"BRT";763544
2015-09-01;"BRT";803364
2015-09-02;"BRT";800770
2015-09-03;"BRT";816305
2015-09-04;"BRT";822016
2015-09-05;"BRT";499477
2015-09-06;"BRT";303520
2015-09-07;"BRT";333212
2015-09-08;"BRT";811425
2015-09-09;"BRT";809415
2015-09-10;"BRT";822430
2015-09-11;"BRT";803394
2015-09-12;"BRT";509788
2015-09-13;"BRT";273321
2015-09-14;"BRT";774811
2015-09-15;"BRT";813023
2015-09-16;"BRT";815732
2015-09-17;"BRT";816422
2015-09-18;"BRT";841083
2015-09-19;"BRT";557000
2015-09-20;"BRT";344760
2015-09-21;"BRT";793148
2015-09-22;"BRT";810845
2015-09-23;"BRT";810658
2015-09-24;"BRT";835724
2015-09-25;"BRT";826852
2015-09-26;"BRT";519670
2015-09-27;"BRT";323074
2015-09-28;"BRT";761168
2015-09-29;"BRT";784764
2015-09-30;"BRT";758251
2015-10-01;"BRT";801210
2015-10-02;"BRT";821490
2015-10-03;"BRT";508293
2015-10-04;"BRT";293582
2015-10-05;"BRT";780684
